General information :

File	Capture018.ptw
Frame	854
Total frames	1484
time	15:42:42.177
Interval start	15:42:25.097
Interval end	15:42:54.777
Format	160	128


Timing-graph Data :

(time)	1 Mean  (°C)
15:42:30.258	2251.19
15:42:30.277	2257.28
15:42:30.298	2257.29
15:42:30.317	2262.12
15:42:30.338	2264.94
15:42:30.358	2270.74
15:42:30.378	2273.34
15:42:30.398	2276.00
15:42:30.417	2279.83
15:42:30.438	2285.51
15:42:30.457	2286.85
15:42:30.478	2291.03
15:42:30.497	2293.27
15:42:30.518	2300.99
15:42:30.538	2301.82
15:42:30.557	2305.60
15:42:30.578	2306.20
15:42:30.597	2313.45
15:42:30.618	2312.38
15:42:30.637	2321.74
15:42:30.658	2318.65
15:42:30.677	2328.71
15:42:30.698	2328.03
15:42:30.718	2334.26
15:42:30.737	2334.21
15:42:30.758	2340.57
15:42:30.777	2340.98
15:42:30.798	2344.52
15:42:30.817	2347.09
15:42:30.838	2350.90
15:42:30.858	2352.64
15:42:30.878	2354.89
15:42:30.898	2360.63
15:42:30.917	2360.43
15:42:30.938	2364.11
15:42:30.957	2366.43
15:42:30.978	2369.83
15:42:30.997	2376.18
15:42:31.018	2375.00
15:42:31.038	2378.50
15:42:31.057	2379.88
15:42:31.078	2383.50
15:42:31.097	2384.20
15:42:31.118	2389.78
15:42:31.137	2391.43
15:42:31.158	2396.14
15:42:31.177	2395.90
15:42:31.198	2402.42
15:42:31.218	2400.47
15:42:31.237	2404.89
15:42:31.258	2406.19
15:42:31.277	2408.58
15:42:31.298	2411.06
15:42:31.317	2409.72
15:42:31.338	2411.88
15:42:31.358	2414.79
15:42:31.378	2418.39
15:42:31.398	2419.53
15:42:31.417	2424.89
15:42:31.438	2423.44
15:42:31.457	2428.59
15:42:31.478	2427.84
15:42:31.497	2429.79
15:42:31.518	2430.22
15:42:31.538	2434.93
15:42:31.557	2436.38
15:42:31.578	2438.11
15:42:31.597	2440.89
15:42:31.618	2441.31
15:42:31.637	2446.24
15:42:31.658	2446.84
15:42:31.677	2451.54
15:42:31.698	2450.05
15:42:31.718	2456.19
15:42:31.737	2457.00
15:42:31.758	2459.01
15:42:31.777	2459.85
15:42:31.798	2461.30
15:42:31.817	2462.43
15:42:31.838	2466.82
15:42:31.858	2468.24
15:42:31.878	2469.69
15:42:31.898	2472.19
15:42:31.917	2473.09
15:42:31.938	2474.77
15:42:31.957	2474.86
15:42:31.978	2477.16
15:42:31.997	2480.29
15:42:32.018	2481.47
15:42:32.038	2483.16
15:42:32.057	2484.75
15:42:32.078	2487.49
15:42:32.097	2486.74
15:42:32.118	2491.08
15:42:32.137	2489.18
15:42:32.158	2491.26
15:42:32.177	2490.52
15:42:32.198	2495.77
15:42:32.218	2492.64
15:42:32.237	2497.36
15:42:32.258	2495.43
15:42:32.277	2500.34
15:42:32.298	2498.40
15:42:32.317	2503.24
15:42:32.338	2502.77
15:42:32.358	2503.45
15:42:32.378	2503.88
15:42:32.398	2506.95
15:42:32.417	2507.70
15:42:32.438	2509.26
15:42:32.457	2510.01
15:42:32.478	2512.47
15:42:32.497	2513.31
15:42:32.518	2515.21
15:42:32.538	2517.58
15:42:32.557	2517.67
15:42:32.578	2519.76
15:42:32.597	2519.94
15:42:32.618	2520.30
15:42:32.637	2523.41
15:42:32.658	2523.56
15:42:32.677	2526.19
15:42:32.698	2525.77
15:42:32.718	2529.43
15:42:32.737	2527.80
15:42:32.758	2531.89
15:42:32.777	2532.32
15:42:32.798	2533.17
15:42:32.817	2534.12
15:42:32.838	2536.52
15:42:32.858	2538.00
15:42:32.878	2538.19
15:42:32.898	2539.70
15:42:32.917	2539.09
15:42:32.938	2543.01
15:42:32.957	2541.22
15:42:32.978	2544.57
15:42:32.997	2542.51
15:42:33.018	2548.26
15:42:33.038	2545.94
15:42:33.057	2548.94
15:42:33.078	2546.72
15:42:33.097	2550.36
15:42:33.118	2548.99
15:42:33.137	2552.80
15:42:33.158	2551.92
15:42:33.177	2553.71
15:42:33.198	2553.96
15:42:33.218	2554.58
15:42:33.237	2557.79
15:42:33.258	2557.43
15:42:33.277	2560.29
15:42:33.298	2558.18
15:42:33.317	2563.06
15:42:33.338	2562.24
15:42:33.358	2563.69
15:42:33.378	2564.03
15:42:33.398	2566.61
15:42:33.417	2565.59
