(time)	1 Max  (°C)	1 Mean  (°C)
16:48:10.555	1375.20	1341.08
16:48:10.574	1370.81	1341.60
16:48:10.595	1377.08	1342.35
16:48:10.614	1373.32	1341.54
16:48:10.634	1375.20	1342.22
16:48:10.654	1377.70	1342.79
16:48:10.674	1378.33	1343.55
16:48:10.694	1380.82	1346.13
16:48:10.714	1379.58	1344.46
16:48:10.735	1375.83	1343.79
16:48:10.754	1378.33	1346.51
16:48:10.774	1380.82	1348.08
16:48:10.794	1377.08	1345.32
16:48:10.814	1379.58	1348.42
16:48:10.834	1380.82	1349.25
16:48:10.854	1375.83	1345.08
16:48:10.875	1378.95	1347.30
16:48:10.894	1385.19	1350.45
16:48:10.915	1386.44	1352.55
16:48:10.934	1388.30	1352.65
16:48:10.954	1377.70	1344.52
16:48:10.974	1371.44	1343.97
16:48:10.994	1375.20	1345.45
16:48:11.014	1376.45	1347.57
16:48:11.034	1379.58	1348.93
16:48:11.055	1378.95	1350.14
16:48:11.074	1382.07	1351.35
16:48:11.095	1375.83	1349.85
16:48:11.114	1370.81	1345.92
16:48:11.134	1371.44	1345.14
16:48:11.154	1372.07	1349.21
16:48:11.174	1367.67	1345.66
16:48:11.194	1373.95	1349.45
16:48:11.214	1363.90	1343.18
16:48:11.235	1378.33	1348.02
16:48:11.254	1372.69	1346.37
16:48:11.274	1373.95	1346.27
16:48:11.294	1382.07	1350.47
16:48:11.314	1378.95	1349.52
16:48:11.334	1380.82	1350.28
16:48:11.354	1382.70	1352.83
16:48:11.375	1378.33	1352.30
16:48:11.394	1381.45	1352.59
16:48:11.415	1372.69	1350.74
16:48:11.434	1374.57	1347.42
16:48:11.454	1382.70	1352.45
16:48:11.474	1389.55	1355.89
16:48:11.494	1387.68	1355.25
16:48:11.514	1387.06	1354.94
16:48:11.534	1382.70	1352.57
16:48:11.555	1387.06	1353.43
16:48:11.574	1386.44	1354.45
16:48:11.595	1392.03	1357.66
16:48:11.614	1390.79	1358.28
16:48:11.634	1394.51	1357.46
16:48:11.654	1392.03	1357.80
16:48:11.674	1395.75	1360.68
16:48:11.694	1400.70	1363.15
16:48:11.714	1403.79	1366.83
16:48:11.735	1403.79	1366.44
16:48:11.754	1402.56	1363.67
16:48:11.774	1403.79	1366.64
16:48:11.794	1406.26	1369.40
16:48:11.814	1398.85	1365.90
16:48:11.834	1406.26	1367.44
16:48:11.854	1401.32	1367.37
16:48:11.875	1405.64	1369.21
16:48:11.894	1406.26	1371.49
16:48:11.915	1408.11	1371.20
16:48:11.934	1409.34	1372.89
16:48:11.954	1411.80	1375.50
16:48:11.974	1407.49	1374.13
16:48:11.994	1410.57	1378.09
16:48:12.014	1408.72	1377.15
16:48:12.034	1413.03	1375.44
16:48:12.055	1414.26	1378.41
16:48:12.074	1419.78	1382.10
16:48:12.095	1418.56	1380.75
16:48:12.114	1419.78	1383.50
16:48:12.134	1425.90	1385.50
16:48:12.154	1427.73	1387.57
16:48:12.174	1417.94	1380.26
16:48:12.194	1421.62	1383.01
16:48:12.214	1421.01	1381.67
16:48:12.235	1422.23	1382.97
16:48:12.254	1421.62	1382.30
16:48:12.274	1418.56	1382.05
16:48:12.294	1422.84	1382.07
16:48:12.314	1418.56	1379.80
16:48:12.334	1424.06	1382.65
16:48:12.354	1429.56	1388.47
16:48:12.375	1428.34	1388.75
16:48:12.394	1427.12	1388.92
16:48:12.415	1434.43	1392.49
16:48:12.434	1424.68	1389.43
16:48:12.454	1433.82	1394.12
16:48:12.474	1444.15	1403.18
16:48:12.494	1434.43	1398.16
16:48:12.514	1437.47	1398.09
16:48:12.534	1441.72	1401.28
16:48:12.555	1441.72	1402.47
16:48:12.574	1442.33	1403.97
16:48:12.595	1439.90	1403.36
16:48:12.614	1443.54	1402.62
16:48:12.634	1440.51	1402.47
16:48:12.654	1442.33	1401.63
16:48:12.674	1436.26	1399.80
