Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972177551264610952|2021-06-10 16:49:46.930000|-0.167328
6972177555559578248|2021-06-10 16:49:47.930000|-0.168365
6972177559854545544|2021-06-10 16:49:48.930000|-0.167938
6972177564149512840|2021-06-10 16:49:49.930000|-0.166168
6972177568444480136|2021-06-10 16:49:50.930000|-0.169464
6972177572739447432|2021-06-10 16:49:51.930000|-0.169769
6972177577034414728|2021-06-10 16:49:52.930000|-0.172058
6972177581329382024|2021-06-10 16:49:53.930000|-0.169678
6972177585624349320|2021-06-10 16:49:54.930000|-0.172363
6972177589919316616|2021-06-10 16:49:55.930000|-0.171539
6972177594214283912|2021-06-10 16:49:56.930000|-0.17218
6972177598509251208|2021-06-10 16:49:57.930000|-0.171631
6972177602804218504|2021-06-10 16:49:58.930000|-0.172394
6972177607099185800|2021-06-10 16:49:59.930000|-0.173004
