Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972093674848287368|2021-06-10 11:24:17.930000|0.0430603
6972093679143254664|2021-06-10 11:24:18.930000|0.04245
6972093683438221960|2021-06-10 11:24:19.930000|0.0443726
6972093687733189256|2021-06-10 11:24:20.930000|0.0415039
6972093692114055896|2021-06-10 11:24:21.950000|0.0508728
6972093696323123848|2021-06-10 11:24:22.930000|0.0514526
6972093700618091144|2021-06-10 11:24:23.930000|0.0478516
6972093704913058440|2021-06-10 11:24:24.930000|0.0453186
6972093709208025736|2021-06-10 11:24:25.930000|0.0578003
6972093713502993032|2021-06-10 11:24:26.930000|0.0528259
6972093717797960328|2021-06-10 11:24:27.930000|0.0519409
6972093722092927624|2021-06-10 11:24:28.930000|0.0524597
6972093726387894920|2021-06-10 11:24:29.930000|0.0554504
6972093730682862216|2021-06-10 11:24:30.930000|0.0557556
6972093734977829512|2021-06-10 11:24:31.930000|0.0532837
6972093739272796808|2021-06-10 11:24:32.930000|0.0499268
6972093743567764104|2021-06-10 11:24:33.930000|0.0524597
6972093747862731400|2021-06-10 11:24:34.930000|0.0507202
6972093752157698696|2021-06-10 11:24:35.930000|0.0476379
6972093756452665992|2021-06-10 11:24:36.930000|0.0465698
6972093760747633288|2021-06-10 11:24:37.930000|0.0443115
6972093765042600584|2021-06-10 11:24:38.930000|0.0529175
6972093769337567880|2021-06-10 11:24:39.930000|0.0428162
6972093773632535176|2021-06-10 11:24:40.930000|0.0481567
6972093777927502472|2021-06-10 11:24:41.930000|0.0415344
6972093782222469768|2021-06-10 11:24:42.930000|0.0428467
6972093786517437064|2021-06-10 11:24:43.930000|0.0352478
6972093790812404360|2021-06-10 11:24:44.930000|0.035553
6972093795107371656|2021-06-10 11:24:45.930000|0.0362244
6972093799402338952|2021-06-10 11:24:46.930000|0.0401306
6972093803697306248|2021-06-10 11:24:47.930000|0.038147
6972093807992273544|2021-06-10 11:24:48.930000|0.0385742
6972093812287240840|2021-06-10 11:24:49.930000|0.0350647
6972093816582208136|2021-06-10 11:24:50.930000|0.0327759
6972093820877175432|2021-06-10 11:24:51.930000|0.0334778
6972093825172142728|2021-06-10 11:24:52.930000|0.032959
6972093829467110024|2021-06-10 11:24:53.930000|0.0335388
6972093833762077320|2021-06-10 11:24:54.930000|0.032959
6972093838057044616|2021-06-10 11:24:55.930000|0.0339355
