(time)	1 Max  (°C)
17:14:34.924	1266.22
17:14:34.944	1293.70
17:14:34.964	1299.50
17:14:34.985	1300.84
17:14:35.004	1310.61
17:14:35.025	1315.92
17:14:35.044	1320.33
17:14:35.065	1322.97
17:14:35.084	1322.09
17:14:35.104	1325.61
17:14:35.125	1326.05
17:14:35.144	1324.29
17:14:35.165	1327.81
17:14:35.184	1326.49
17:14:35.205	1329.12
17:14:35.224	1333.07
17:14:35.245	1334.82
17:14:35.264	1334.82
17:14:35.284	1337.00
17:14:35.305	1338.31
17:14:35.324	1338.75
17:14:35.345	1340.93
17:14:35.364	1339.62
17:14:35.385	1339.62
17:14:35.404	1340.93
17:14:35.424	1338.75
17:14:35.444	1366.92
17:14:35.464	1381.50
17:14:35.485	1381.07
17:14:35.504	1382.35
17:14:35.525	1381.07
17:14:35.544	1400.64
17:14:35.565	1401.48
17:14:35.584	1398.10
17:14:35.604	1392.15
17:14:35.625	1395.55
17:14:35.644	1396.82
17:14:35.665	1398.94
17:14:35.684	1401.91
17:14:35.705	1405.29
17:14:35.724	1403.18
17:14:35.745	1408.24
17:14:35.764	1405.71
17:14:35.784	1409.93
17:14:35.805	1410.35
17:14:35.824	1425.88
17:14:35.845	1417.08
17:14:35.864	1419.18
17:14:35.885	1425.88
17:14:35.904	1433.40
17:14:35.924	1436.31
17:14:35.944	1457.85
17:14:35.964	1465.66
17:14:35.985	1468.13
17:14:36.004	1463.20
17:14:36.025	1475.09
17:14:36.044	1477.95
17:14:36.065	1486.51
17:14:36.084	1485.28
17:14:36.104	1489.76
17:14:36.125	1484.47
17:14:36.144	1480.80
17:14:36.165	1488.54
17:14:36.184	1493.81
17:14:36.205	1498.27
17:14:36.224	1495.84
17:14:36.245	1496.25
17:14:36.264	1500.29
17:14:36.284	1501.50
17:14:36.305	1507.56
17:14:36.324	1509.97
17:14:36.345	1510.38
17:14:36.364	1511.58
17:14:36.385	1516.00
17:14:36.404	1516.40
17:14:36.424	1518.81
17:14:36.444	1529.21
17:14:36.464	1541.95
17:14:36.485	1546.70
17:14:36.504	1551.45
17:14:36.525	1554.21
17:14:36.544	1561.70
17:14:36.565	1571.91
17:14:36.584	1572.69
17:14:36.604	1572.69
17:14:36.625	1580.51
17:14:36.644	1579.34
17:14:36.665	1582.85
17:14:36.684	1582.07
17:14:36.705	1583.24
17:14:36.724	1578.95
17:14:36.745	1583.63
17:14:36.764	1585.19
17:14:36.784	1589.86
17:14:36.805	1589.47
17:14:36.824	1589.47
17:14:36.845	1589.08
17:14:36.864	1591.41
17:14:36.885	1591.41
17:14:36.904	1587.14
17:14:36.924	1584.80
17:14:36.944	1619.21
17:14:36.964	1629.93
17:14:36.985	1636.42
17:14:37.004	1639.08
17:14:37.025	1645.54
17:14:37.044	1650.09
17:14:37.065	1651.99
